,pid,condition,with_reward,with_info,with_feedback
134,134,2,True,True,True
135,135,0,False,True,True
136,136,2,True,True,True
137,137,1,False,False,False
138,138,2,True,True,True
139,139,3,True,False,True
140,140,1,False,False,False
141,141,3,True,False,True
142,142,3,True,False,True
143,143,3,True,False,True
144,144,2,True,True,True
145,145,2,True,True,True
146,146,3,True,False,True
147,147,3,True,False,True
148,148,0,False,True,True
149,149,3,True,False,True
150,150,3,True,False,True
151,151,1,False,False,False
152,152,1,False,False,False
153,153,3,True,False,True
154,154,2,True,True,True
155,155,0,False,True,True
156,156,3,True,False,True
157,157,3,True,False,True
158,158,2,True,True,True
159,159,3,True,False,True
160,160,1,False,False,False
161,161,0,False,True,True
162,162,2,True,True,True
163,163,3,True,False,True
164,164,1,False,False,False
165,165,2,True,True,True
166,166,2,True,True,True
167,167,2,True,True,True
168,168,1,False,False,False
169,169,0,False,True,True
170,170,1,False,False,False
171,171,0,False,True,True
172,172,0,False,True,True
173,173,2,True,True,True
174,174,2,True,True,True
175,175,0,False,True,True
176,176,3,True,False,True
177,177,0,False,True,True
178,178,3,True,False,True
179,179,3,True,False,True
180,180,0,False,True,True
181,181,2,True,True,True
182,182,1,False,False,False
183,183,2,True,True,True
184,184,2,True,True,True
185,185,0,False,True,True
186,186,1,False,False,False
187,187,1,False,False,False
188,188,0,False,True,True
189,189,1,False,False,False
190,190,3,True,False,True
191,191,0,False,True,True
192,192,0,False,True,True
193,193,3,True,False,True
194,194,3,True,False,True
195,195,0,False,True,True
196,196,0,False,True,True
197,197,1,False,False,False
198,198,1,False,False,False
199,199,1,False,False,False
200,200,3,True,False,True
201,201,3,True,False,True
202,202,1,False,False,False
203,203,3,True,False,True
204,204,1,False,False,False
205,205,2,True,True,True
206,206,3,True,False,True
207,207,3,True,False,True
208,208,1,False,False,False
209,209,1,False,False,False
210,210,3,True,False,True
211,211,0,False,True,True
212,212,2,True,True,True
213,213,3,True,False,True
214,214,3,True,False,True
215,215,0,False,True,True
216,216,2,True,True,True
217,217,2,True,True,True
218,218,0,False,True,True
219,219,0,False,True,True
220,220,3,True,False,True
221,221,3,True,False,True
222,222,1,False,False,False
223,223,2,True,True,True
224,224,0,False,True,True
225,225,0,False,True,True
226,226,2,True,True,True
227,227,0,False,True,True
228,228,1,False,False,False
229,229,0,False,True,True
230,230,1,False,False,False
231,231,1,False,False,False
232,232,1,False,False,False
233,233,1,False,False,False
234,234,0,False,True,True
235,235,0,False,True,True
236,236,3,True,False,True
237,237,0,False,True,True
238,238,3,True,False,True
239,239,3,True,False,True
240,240,3,True,False,True
241,241,0,False,True,True
242,242,1,False,False,False
243,243,3,True,False,True
244,244,3,True,False,True
245,245,0,False,True,True
246,246,0,False,True,True
247,247,3,True,False,True
248,248,0,False,True,True
249,249,2,True,True,True
250,250,2,True,True,True
251,251,2,True,True,True
252,252,0,False,True,True
253,253,1,False,False,False
254,254,2,True,True,True
255,255,3,True,False,True
256,256,0,False,True,True
257,257,2,True,True,True
258,258,1,False,False,False
259,259,2,True,True,True
260,260,3,True,False,True
261,261,3,True,False,True
262,262,1,False,False,False
263,263,2,True,True,True
264,264,1,False,False,False
265,265,3,True,False,True
266,266,3,True,False,True
267,267,2,True,True,True
268,268,3,True,False,True
269,269,0,False,True,True
270,270,1,False,False,False
271,271,2,True,True,True
272,272,1,False,False,False
273,273,2,True,True,True
274,274,3,True,False,True
275,275,1,False,False,False
276,276,3,True,False,True
277,277,2,True,True,True
278,278,3,True,False,True
279,279,0,False,True,True
280,280,3,True,False,True
281,281,0,False,True,True
282,282,2,True,True,True
283,283,0,False,True,True
284,284,3,True,False,True
285,285,3,True,False,True
286,286,2,True,True,True
287,287,0,False,True,True
288,288,1,False,False,False
289,289,1,False,False,False
290,290,3,True,False,True
291,291,1,False,False,False
292,292,2,True,True,True
293,293,2,True,True,True
294,294,3,True,False,True
295,295,3,True,False,True
296,296,3,True,False,True
297,297,0,False,True,True
298,298,0,False,True,True
299,299,3,True,False,True
300,300,0,False,True,True
301,301,0,False,True,True
302,302,0,False,True,True
303,303,0,False,True,True
304,304,2,True,True,True
305,305,2,True,True,True
306,306,3,True,False,True
307,307,0,False,True,True
308,308,1,False,False,False
309,309,3,True,False,True
310,310,0,False,True,True
311,311,0,False,True,True
312,312,3,True,False,True
313,313,2,True,True,True
314,314,1,False,False,False
315,315,3,True,False,True
316,316,1,False,False,False
317,317,0,False,True,True
318,318,3,True,False,True
319,319,1,False,False,False
320,320,3,True,False,True
321,321,2,True,True,True
322,322,1,False,False,False
323,323,0,False,True,True
324,324,2,True,True,True
325,325,3,True,False,True
326,326,0,False,True,True
327,327,2,True,True,True
328,328,0,False,True,True
329,329,2,True,True,True
330,330,1,False,False,False
331,331,3,True,False,True
332,332,0,False,True,True
333,333,0,False,True,True
334,334,1,False,False,False
335,335,0,False,True,True
336,336,1,False,False,False
337,337,3,True,False,True
338,338,1,False,False,False
339,339,3,True,False,True
340,340,1,False,False,False
341,341,3,True,False,True
342,342,3,True,False,True
343,343,1,False,False,False
344,344,1,False,False,False
345,345,2,True,True,True
346,346,0,False,True,True
347,347,0,False,True,True
348,348,2,True,True,True
349,349,3,True,False,True
350,350,3,True,False,True
351,351,2,True,True,True
352,352,2,True,True,True
353,353,1,False,False,False
354,354,2,True,True,True
355,355,1,False,False,False
356,356,1,False,False,False
357,357,3,True,False,True
358,358,1,False,False,False
359,359,3,True,False,True
360,360,3,True,False,True
361,361,0,False,True,True
362,362,0,False,True,True
363,363,3,True,False,True
364,364,0,False,True,True
365,365,3,True,False,True
366,366,1,False,False,False
367,367,1,False,False,False
368,368,1,False,False,False
369,369,0,False,True,True
370,370,3,True,False,True
371,371,3,True,False,True
372,372,3,True,False,True
373,373,1,False,False,False
374,374,1,False,False,False
375,375,0,False,True,True
376,376,2,True,True,True
377,377,3,True,False,True
378,378,2,True,True,True
379,379,0,False,True,True
380,380,3,True,False,True
381,381,1,False,False,False
382,382,2,True,True,True
383,383,1,False,False,False
384,384,2,True,True,True
385,385,3,True,False,True
386,386,0,False,True,True
387,387,2,True,True,True
388,388,1,False,False,False
389,389,1,False,False,False
390,390,1,False,False,False
391,391,2,True,True,True
392,392,1,False,False,False
393,393,3,True,False,True
394,394,1,False,False,False
395,395,1,False,False,False
396,396,3,True,False,True
397,397,3,True,False,True
398,398,2,True,True,True
399,399,3,True,False,True
400,400,2,True,True,True
401,401,2,True,True,True
402,402,1,False,False,False
403,403,2,True,True,True
404,404,1,False,False,False
405,405,1,False,False,False
406,406,2,True,True,True
407,407,3,True,False,True
408,408,1,False,False,False
409,409,2,True,True,True
410,410,3,True,False,True
411,411,1,False,False,False
412,412,3,True,False,True
413,413,0,False,True,True
414,414,3,True,False,True
415,415,3,True,False,True
416,416,0,False,True,True
417,417,3,True,False,True
418,418,0,False,True,True
419,419,3,True,False,True
420,420,2,True,True,True
421,421,2,True,True,True
422,422,3,True,False,True
423,423,0,False,True,True
424,424,0,False,True,True
425,425,3,True,False,True
426,426,2,True,True,True
427,427,1,False,False,False
428,428,3,True,False,True
429,429,2,True,True,True
430,430,3,True,False,True
431,431,2,True,True,True
432,432,3,True,False,True
433,433,1,False,False,False
434,434,2,True,True,True
435,435,1,False,False,False
436,436,2,True,True,True
437,437,2,True,True,True
438,438,1,False,False,False
439,439,0,False,True,True
440,440,2,True,True,True
441,441,0,False,True,True
442,442,0,False,True,True
443,443,0,False,True,True
444,444,2,True,True,True
445,445,1,False,False,False
446,446,2,True,True,True
447,447,1,False,False,False
448,448,0,False,True,True
449,449,1,False,False,False
450,450,2,True,True,True
451,451,0,False,True,True
452,452,2,True,True,True
453,453,3,True,False,True
454,454,0,False,True,True
455,455,1,False,False,False
456,456,2,True,True,True
457,457,1,False,False,False
458,458,0,False,True,True
